   Xe129
 Spin_n=   0.3285    Spin_p=   0.0100
  
  Set         u          S_p          S_n
  
    7     0.811  0.45668E-03  0.74715E-02
    7     0.966  0.33741E-03  0.46105E-02
    7     1.133  0.26088E-03  0.30513E-02
    7     1.314  0.21823E-03  0.22812E-02
    7     1.509  0.20142E-03  0.19861E-02
    7     1.717  0.20418E-03  0.19944E-02
    7     1.938  0.22140E-03  0.22072E-02
    7     2.173  0.24792E-03  0.25447E-02
    7     2.421  0.27771E-03  0.29203E-02
    7     2.683  0.30416E-03  0.32426E-02
    7     2.957  0.32117E-03  0.34330E-02
    7     3.100  0.32472E-03  0.34622E-02
 
    8    delta_a1(0)= -0.1345
    8     0.000  0.18862E-02  0.18010E+00 
    8     0.007  0.18724E-02  0.17541E+00  
    8     0.015  0.18550E-02  0.16970E+00  
    8     0.027  0.18305E-02  0.16202E+00  
    8     0.042  0.17988E-02  0.15265E+00  
    8     0.060  0.17592E-02  0.14190E+00 
    8     0.083  0.17120E-02  0.13017E+00  
    8     0.108  0.16560E-02  0.11780E+00  
    8     0.136  0.15911E-02  0.10518E+00  
    8     0.168  0.15161E-02  0.92640E-01 
    8     0.204  0.14345E-02  0.80502E-01  
    8     0.243  0.13437E-02  0.69002E-01  
    8     0.285  0.12462E-02  0.58346E-01  
    8     0.329  0.11409E-02  0.48658E-01 
    8     0.379  0.10385E-02  0.40078E-01  
    8     0.431  0.93288E-03  0.32582E-01  
    8     0.487  0.82949E-03  0.26174E-01  
    8     0.543  0.72587E-03  0.20756E-01 
    8     0.608  0.63845E-03  0.16378E-01  
    8     0.671  0.54852E-03  0.12748E-01 
    8     0.743  0.47973E-03  0.99829E-02  
    8     0.811  0.40764E-03  0.77044E-02 
    8     0.891  0.35996E-03  0.61100E-02  
    8     0.966  0.30579E-03  0.47487E-02 
    8     1.133  0.23945E-03  0.31387E-02 
    8     1.314  0.20232E-03  0.23437E-02 
    8     1.509  0.18806E-03  0.20389E-02 
    8     1.717  0.19152E-03  0.20468E-02 
    8     1.938  0.20829E-03  0.22654E-02 
    8     2.173  0.23375E-03  0.26123E-02 
    8     2.421  0.26238E-03  0.29986E-02 
    8     2.683  0.28806E-03  0.33300E-02 
    8     2.958  0.30503E-03  0.35254E-02 
    8     3.100  0.30890E-03  0.35552E-02 


    9    delta_a1(0)= -0.2858
    9     0.000  0.58864E-02  0.15295E+00
    9     0.060  0.50648E-02  0.12068E+00
    9     0.168  0.38216E-02  0.78999E-01
    9     0.329  0.24365E-02  0.41699E-01
    9     0.543  0.13065E-02  0.17941E-01
    9     0.671  0.90902E-03  0.11091E-01
    9     0.811  0.62437E-03  0.67595E-02
    9     0.966  0.43548E-03  0.42095E-02
    9     1.133  0.31997E-03  0.28139E-02
    9     1.314  0.25689E-03  0.21226E-02
    9     1.509  0.23029E-03  0.18585E-02
    9     1.717  0.22934E-03  0.18696E-02
    9     1.938  0.24628E-03  0.20673E-02
    9     2.173  0.27407E-03  0.23792E-02
    9     2.421  0.30511E-03  0.27269E-02
    9     2.683  0.33147E-03  0.30269E-02
    9     2.957  0.34621E-03  0.32072E-02
    9     3.100  0.34773E-03  0.32372E-02
 
   10    delta_a1(0)= -0.2302
   10     0.000  0.41592E-02  0.16267E+00
   10     0.060  0.36457E-02  0.12830E+00
   10     0.168  0.28374E-02  0.83934E-01
   10     0.329  0.18835E-02  0.44247E-01
   10     0.543  0.10557E-02  0.18993E-01
   10     0.671  0.75116E-03  0.11721E-01
   10     0.811  0.52738E-03  0.71264E-02
   10     0.966  0.37551E-03  0.44252E-02
   10     1.133  0.28097E-03  0.29487E-02
   10     1.314  0.22885E-03  0.22178E-02
   10     1.509  0.20715E-03  0.19381E-02
   10     1.717  0.20738E-03  0.19481E-02
   10     1.938  0.22315E-03  0.21544E-02
   10     2.173  0.24849E-03  0.24805E-02
   10     2.421  0.27678E-03  0.28439E-02
   10     2.683  0.30107E-03  0.31570E-02
   10     2.957  0.31517E-03  0.33440E-02
   10     3.100  0.31704E-03  0.33743E-02
 
   11    delta_a1(0)= -0.2210
   11     0.000  0.39015E-02  0.16431E+00
   11     0.060  0.34343E-02  0.12958E+00
   11     0.168  0.26918E-02  0.84752E-01
   11     0.329  0.18035E-02  0.44660E-01
   11     0.543  0.10211E-02  0.19157E-01
   11     0.671  0.73024E-03  0.11816E-01
   11     0.811  0.51527E-03  0.71795E-02
   11     0.966  0.36863E-03  0.44546E-02
   11     1.133  0.27699E-03  0.29657E-02
   11     1.314  0.22638E-03  0.22288E-02
