   Xe131
 Spin_n=  -0.2721    Spin_p=  -0.0086
  
  Set         u          S_p          S_n
  
    7     0.815  0.17089E-02  0.15657E-01
    7     0.970  0.17281E-02  0.14470E-01
    7     1.139  0.17446E-02  0.13807E-01
    7     1.320  0.17561E-02  0.13289E-01
    7     1.516  0.17566E-02  0.12729E-01
    7     1.725  0.17367E-02  0.12060E-01
    7     1.947  0.16857E-02  0.11263E-01
    7     2.183  0.15954E-02  0.10324E-01
    7     2.432  0.14630E-02  0.92289E-02
    7     2.695  0.12932E-02  0.79779E-02
    7     2.971  0.10981E-02  0.66053E-02
    7     3.114  0.99615E-03  0.58962E-02
 
    8    delta_a1(0)= -0.1346
    8     0.000  0.14697E-02  0.13727E+00
    8     0.007  0.14589E-02  0.13369E+00 
    8     0.015  0.14464E-02  0.12935E+00 
    8     0.027  0.14307E-02  0.12352E+00 
    8     0.042  0.14131E-02  0.11642E+00 
    8     0.061  0.13955E-02  0.10831E+00
    8     0.083  0.13795E-02  0.99495E-01 
    8     0.108  0.13666E-02  0.90263E-01 
    8     0.136  0.13581E-02  0.80914E-01 
    8     0.168  0.13549E-02  0.71716E-01
    8     0.204  0.13574E-02  0.62913E-01 
    8     0.243  0.13655E-02  0.54702E-01 
    8     0.285  0.13787E-02  0.47235E-01 
    8     0.330  0.13963E-02  0.40607E-01
    8     0.379  0.14173E-02  0.34872E-01 
    8     0.431  0.14404E-02  0.30029E-01 
    8     0.487  0.14645E-02  0.26048E-01 
    8     0.546  0.14886E-02  0.22859E-01
    8     0.608  0.15121E-02  0.20372E-01 
    8     0.674  0.15340E-02  0.18487E-01
    8     0.743  0.15549E-02  0.17092E-01 
    8     0.815  0.15735E-02  0.16084E-01
    8     0.891  0.15914E-02  0.15365E-01 
    8     0.970  0.16071E-02  0.14848E-01
    8     1.139  0.16359E-02  0.14154E-01
    8     1.320  0.16589E-02  0.13611E-01
    8     1.516  0.16710E-02  0.13026E-01
    8     1.725  0.16631E-02  0.12329E-01
    8     1.947  0.16245E-02  0.11502E-01
    8     2.183  0.15463E-02  0.10532E-01
    8     2.432  0.14253E-02  0.94061E-02
    8     2.695  0.12659E-02  0.81232E-02
    8     2.971  0.10796E-02  0.67184E-02
    8     3.114  0.98155E-03  0.59933E-02

    9    delta_a1(0)= -0.2858
    9     0.000  0.45380E-02  0.11660E+00
    9     0.061  0.39485E-02  0.92153E-01
    9     0.168  0.32199E-02  0.61294E-01
    9     0.330  0.26078E-02  0.35130E-01
    9     0.546  0.22374E-02  0.20273E-01
    9     0.674  0.21278E-02  0.16639E-01
    9     0.815  0.20510E-02  0.14661E-01
    9     0.970  0.19946E-02  0.13661E-01
    9     1.139  0.19479E-02  0.13116E-01
    9     1.320  0.19014E-02  0.12696E-01
    9     1.516  0.18457E-02  0.12235E-01
    9     1.725  0.17713E-02  0.11670E-01
    9     1.947  0.16703E-02  0.10974E-01
    9     2.183  0.15379E-02  0.10127E-01
    9     2.432  0.13745E-02  0.91117E-02
    9     2.695  0.11862E-02  0.79272E-02
    9     2.971  0.98425E-03  0.66105E-02
    9     3.114  0.88249E-03  0.59258E-02
 
   10    delta_a1(0)= -0.2302
   10     0.000  0.32149E-02  0.12400E+00
   10     0.061  0.28546E-02  0.97962E-01
   10     0.168  0.24270E-02  0.65086E-01
   10     0.330  0.20923E-02  0.37189E-01
   10     0.546  0.19080E-02  0.21323E-01
   10     0.674  0.18569E-02  0.17432E-01
   10     0.815  0.18218E-02  0.15307E-01
   10     0.970  0.17959E-02  0.14225E-01
   10     1.139  0.17738E-02  0.13628E-01
   10     1.320  0.17496E-02  0.13165E-01
   10     1.516  0.17157E-02  0.12660E-01
   10     1.725  0.16634E-02  0.12046E-01
   10     1.947  0.15840E-02  0.11300E-01
   10     2.183  0.14720E-02  0.10404E-01
   10     2.432  0.13269E-02  0.93392E-02
   10     2.695  0.11542E-02  0.81066E-02
   10     2.971  0.96502E-03  0.67429E-02
   10     3.114  0.86869E-03  0.60356E-02
 
   11    delta_a1(0)= -0.2210
   11     0.000  0.30174E-02  0.12525E+00
   11     0.061  0.26915E-02  0.98936E-01
   11     0.168  0.23103E-02  0.65708E-01
   11     0.330  0.20199E-02  0.37507E-01
   11     0.546  0.18671E-02  0.21462E-01
   11     0.674  0.18267E-02  0.17526E-01
   11     0.815  0.17995E-02  0.15374E-01
   11     0.970  0.17797E-02  0.14277E-01
   11     1.139  0.17627E-02  0.13671E-01
   11     1.320  0.17431E-02  0.13199E-01
   11     1.516  0.17137E-02  0.12686E-01
   11     1.725  0.16657E-02  0.12065E-01
   11     1.947  0.15901E-02  0.11311E-01
   11     2.183  0.14812E-02  0.10407E-01
   11     2.432  0.13381E-02  0.93373E-02
   11     2.695  0.11664E-02  0.81005E-02
   11     2.971  0.97722E-03  0.67337E-02
   11     3.114  0.88057E-03  0.60252E-02
 
   12    delta_a1(0)= -0.1781
   12     0.000  0.21794E-02  0.13115E+00
   12     0.061  0.19902E-02  0.10357E+00
   12     0.168  0.17901E-02  0.68729E-01
   12     0.330  0.16697E-02  0.39140E-01
   12     0.546  0.16354E-02  0.22288E-01
   12     0.674  0.16339E-02  0.18145E-01
   12     0.815  0.16356E-02  0.15876E-01
   12     0.970  0.16380E-02  0.14714E-01
   12     1.139  0.16394E-02  0.14066E-01
   12     1.320  0.16367E-02  0.13561E-01
   12     1.516  0.16241E-02  0.13013E-01
   12     1.725  0.15928E-02  0.12354E-01
   12     1.947  0.15338E-02  0.11561E-01
   12     2.183  0.14403E-02  0.10619E-01
   12     2.432  0.13109E-02  0.95114E-02
   12     2.695  0.11505E-02  0.82376E-02
   12     2.971  0.97027E-03  0.68349E-02
   12     3.114  0.87722E-03  0.61091E-02
 
