#Parameter,Value,Error
A,32.159702345,0.632405561741
x1,115.212065483,0.223763552955
y1,9095.13287722,17.2143774966
sx,15.8988080142,0.1791544087
sy,1351.03724707,15.2713980928
theta,-0.00557282352456,0.000168981767622
