# S1              S2
  6.9590630e+000  1.0044626e+003
  3.8634250e+001  2.6883851e+003
  2.7763110e+001  3.2439945e+003
  3.0600890e+001  1.7306612e+003
  9.3854850e+000  1.3785094e+003
  3.8906790e+001  5.9952100e+003
  1.1968220e+001  2.5882878e+003
  3.6578510e+001  2.9647700e+003
  2.3180800e+001  2.2789270e+003
  3.4241740e+000  9.5377476e+002
  2.1424900e+001  1.5498219e+003
  4.3950310e+000  9.0847074e+002
  2.1862260e+001  4.0529669e+003
  1.0752900e+001  7.7562109e+002
  2.1976920e+001  2.2006188e+003
  2.3806610e+001  2.1848798e+003
  3.4213790e+001  3.3705998e+003
  1.2567130e+001  2.3699932e+003
  2.8751310e+001  2.5409413e+003
  1.0911800e+001  1.6718503e+003
  1.1951030e+001  1.4736432e+003
  3.0780780e+000  1.3093255e+003
  1.6162430e+000  5.8687642e+002
  3.8567910e+001  3.1806223e+003
  3.1456790e+001  2.3186725e+003
  2.7817510e+000  8.6229378e+002
  3.1269740e+001  4.8560961e+003
  1.7657420e+001  2.5364088e+003
  8.6991420e+000  1.2872397e+003
  5.5068650e+000  7.6910641e+002
  8.8438430e+000  1.2496087e+003
  2.2716250e+001  1.6933886e+003
  1.5782860e+001  1.4186482e+003
  1.6571190e+001  2.0600307e+003
  7.6708510e+000  1.1202851e+003
  1.8116460e+001  2.2088811e+003
  3.3110600e+001  3.5689795e+003
  3.1052830e+001  2.0594924e+003
  9.4792220e+000  1.4499789e+003
  2.7761100e+001  3.0570579e+003
  2.7558300e+001  2.5162073e+003
  2.1739760e+001  1.9161114e+003
  5.9623160e+000  9.1209692e+002
  2.2280120e+001  1.7933189e+003
  1.0148760e+001  1.6278373e+003
  3.1088040e+001  2.2006519e+003
  3.1371510e+000  2.9461471e+002
  3.4234540e+001  2.4935811e+003
  6.2850780e+000  1.1341557e+003
  3.2768850e+001  2.6292640e+003
  1.3538620e+001  1.8380715e+003
  3.1241510e+001  2.1618075e+003
  1.3946810e+000  6.1027964e+002
  3.0309170e+001  4.6228526e+003
  2.3708840e+001  2.8297385e+003
  3.2125390e+000  1.0428850e+003
  2.6141210e+001  2.8193480e+003
  1.0447130e+000  5.9561963e+002
  1.0222940e+001  1.2532993e+003
  7.3460130e+000  1.3312410e+003
  4.3905340e+000  9.4406815e+002
  1.5756040e+001  1.6099748e+003
  2.4331050e+001  2.9497272e+003
  1.5147820e+000  2.5868017e+002
  1.3423520e+001  2.4475040e+003
  2.8900320e+000  7.8922285e+002
  1.2955460e+001  2.2595598e+003
  1.1992220e+001  1.5197900e+003
  2.9991950e+001  3.4231876e+003
  1.9128460e+001  1.9681854e+003
  3.3254330e+001  2.8918662e+003
  2.3514580e+001  1.9372926e+003
  1.5489690e+001  2.0844320e+003
  2.1123320e+001  3.5855450e+003
  1.0259170e+001  1.0180011e+003
  2.2004060e+001  2.5310098e+003
  3.4710540e+001  3.0034982e+003
  2.9061990e+001  2.5565680e+003
  1.6614150e+001  2.4481562e+003
  8.1294780e+000  9.5062594e+002
  2.6251130e+001  3.8479640e+003
  2.8685820e+001  1.5508910e+003
  7.5936990e+000  1.3058021e+003
  3.4726900e+001  2.4295622e+003
  3.4750220e+001  2.2414474e+003
  1.8255390e+001  2.9563450e+003
  2.6427350e+001  1.9761168e+003
  1.7754880e+001  1.9877408e+003
  3.7383900e+001  5.7460792e+003
  8.6546060e+000  9.0388109e+002
  1.8707000e+001  2.5179271e+003
  2.6020940e+001  1.7996870e+003
  1.6822190e+000  1.8687901e+002
  2.9550200e+001  3.8047439e+003
  2.5656460e+001  3.1085133e+003
  2.1062780e+000  9.0557347e+002
  2.1240670e+001  1.3648006e+003
  2.6157640e+001  1.4051140e+003
  2.5280650e+001  3.1116320e+003
  5.7881880e+000  1.4356568e+003
  1.0775470e+001  1.4901234e+003
  3.8837230e+000  8.6168443e+002
  2.2809820e+001  1.9255325e+003
  6.1261560e+000  1.5479219e+003
  1.5995540e+001  2.3201652e+003
  2.1252070e+001  2.3697811e+003
  2.0099660e+001  2.3034284e+003
  3.8473360e+001  1.9559607e+003
  1.9875410e+001  1.5256401e+003
  2.8388830e+001  2.6757682e+003
  1.6187260e+001  2.6530250e+003
  1.7203670e+001  2.0471473e+003
  2.0058060e+001  4.3654290e+003
  1.8352970e+001  2.5046979e+003
  1.9374820e+001  2.9182311e+003
  1.6708600e+001  1.8895529e+003
  7.1590720e+000  6.1213855e+002
  2.0950510e+001  2.5021227e+003
  3.9812940e+001  2.8179692e+003
  3.5478730e+001  4.3278885e+003
  3.3865570e+001  2.0854481e+003
